Topic 0:
-----------------------
worri (297): 0.000734474
away (12): 0.000734474
what (294): 0.000734474
version (285): 0.000734474
wrote (299): 0.000734474
unintellig (279): 0.000734474
wont (295): 0.000734474

Topic 13:
-----------------------
<s> (1): 0.257371
</s> (0): 0.241589
energi (64): 0.0739372
signal (220): 0.0644128
squar (231): 0.0432154
total (269): 0.0376987
power (183): 0.0285257
fourier (81): 0.0241611
integr (115): 0.0197501
transform (270): 0.0179022
triangl (272): 0.0156729
frequenc (82): 0.0125022
talk (251): 0.0124759
finit (78): 0.0122958
it (123): 0.0102521
that (257): 0.00946989
defin (45): 0.00851447
theorem (258): 0.00851447
mean (143): 0.00633749
thing (261): 0.00633749

