Topic 0:
-----------------------
-----------------------
order (161): 0.00523484
appli (8): 0.000505777
backward (15): 0.000505777
blackboard (17): 0.000505777
wont (295): 0.000505777
unintellig (279): 0.000505777
anim (7): 0.000505777
current (41): 0.000505777
band (16): 0.000505777
caus (27): 0.000505777
class (30): 0.000505777
can't (22): 0.000505777
cds (28): 0.000505777
care (24): 0.000505777
carrier (25): 0.000505777
tomorrow (266): 0.000505777
wrote (299): 0.000505777
worri (297): 0.000505777
work (296): 0.000505777
what (294): 0.000505777

Topic 12:
-----------------------
appli (8): 0.000518398
work (296): 0.000518398
backward (15): 0.000518398
blackboard (17): 0.000518398
case (26): 0.000518398
wont (295): 0.000518398
anim (7): 0.000518398
current (41): 0.000518398
band (16): 0.000518398
caus (27): 0.000518398
class (30): 0.000518398
abl (2): 0.000518398
cds (28): 0.000518398
can't (22): 0.000518398
care (24): 0.000518398
unintellig (279): 0.000518398
tomorrow (266): 0.000518398
wrote (299): 0.000518398
worri (297): 0.000518398
what (294): 0.000518398

